B05010_001E,NAME,block group,county,state,tract
,"Block Group 1, Census Tract 5034, Wayne County, Michigan",1,163,26,503400
,"Block Group 2, Census Tract 5034, Wayne County, Michigan",2,163,26,503400
,"Block Group 1, Census Tract 5035, Wayne County, Michigan",1,163,26,503500
,"Block Group 2, Census Tract 5035, Wayne County, Michigan",2,163,26,503500
,"Block Group 3, Census Tract 5035, Wayne County, Michigan",3,163,26,503500
,"Block Group 4, Census Tract 5035, Wayne County, Michigan",4,163,26,503500
,"Block Group 5, Census Tract 5035, Wayne County, Michigan",5,163,26,503500
,"Block Group 1, Census Tract 5036, Wayne County, Michigan",1,163,26,503600
,"Block Group 2, Census Tract 5036, Wayne County, Michigan",2,163,26,503600
,"Block Group 3, Census Tract 5036, Wayne County, Michigan",3,163,26,503600
,"Block Group 1, Census Tract 5039, Wayne County, Michigan",1,163,26,503900
,"Block Group 2, Census Tract 5039, Wayne County, Michigan",2,163,26,503900
,"Block Group 3, Census Tract 5039, Wayne County, Michigan",3,163,26,503900
,"Block Group 1, Census Tract 5040, Wayne County, Michigan",1,163,26,504000
,"Block Group 2, Census Tract 5040, Wayne County, Michigan",2,163,26,504000
,"Block Group 1, Census Tract 5041, Wayne County, Michigan",1,163,26,504100
,"Block Group 2, Census Tract 5041, Wayne County, Michigan",2,163,26,504100
,"Block Group 3, Census Tract 5041, Wayne County, Michigan",3,163,26,504100
,"Block Group 1, Census Tract 5042, Wayne County, Michigan",1,163,26,504200
,"Block Group 2, Census Tract 5042, Wayne County, Michigan",2,163,26,504200
,"Block Group 3, Census Tract 5042, Wayne County, Michigan",3,163,26,504200
,"Block Group 4, Census Tract 5042, Wayne County, Michigan",4,163,26,504200
,"Block Group 1, Census Tract 5043, Wayne County, Michigan",1,163,26,504300
,"Block Group 2, Census Tract 5043, Wayne County, Michigan",2,163,26,504300
,"Block Group 3, Census Tract 5043, Wayne County, Michigan",3,163,26,504300
,"Block Group 1, Census Tract 5044, Wayne County, Michigan",1,163,26,504400
,"Block Group 2, Census Tract 5044, Wayne County, Michigan",2,163,26,504400
,"Block Group 3, Census Tract 5044, Wayne County, Michigan",3,163,26,504400
,"Block Group 1, Census Tract 5047, Wayne County, Michigan",1,163,26,504700
,"Block Group 2, Census Tract 5047, Wayne County, Michigan",2,163,26,504700
,"Block Group 3, Census Tract 5047, Wayne County, Michigan",3,163,26,504700
,"Block Group 1, Census Tract 5048, Wayne County, Michigan",1,163,26,504800
,"Block Group 2, Census Tract 5048, Wayne County, Michigan",2,163,26,504800
,"Block Group 1, Census Tract 5049, Wayne County, Michigan",1,163,26,504900
,"Block Group 2, Census Tract 5049, Wayne County, Michigan",2,163,26,504900
,"Block Group 3, Census Tract 5049, Wayne County, Michigan",3,163,26,504900
,"Block Group 4, Census Tract 5049, Wayne County, Michigan",4,163,26,504900
,"Block Group 1, Census Tract 5050, Wayne County, Michigan",1,163,26,505000
,"Block Group 2, Census Tract 5050, Wayne County, Michigan",2,163,26,505000
,"Block Group 1, Census Tract 5051, Wayne County, Michigan",1,163,26,505100
,"Block Group 2, Census Tract 5051, Wayne County, Michigan",2,163,26,505100
,"Block Group 3, Census Tract 5051, Wayne County, Michigan",3,163,26,505100
,"Block Group 4, Census Tract 5051, Wayne County, Michigan",4,163,26,505100
,"Block Group 5, Census Tract 5051, Wayne County, Michigan",5,163,26,505100
,"Block Group 1, Census Tract 5052, Wayne County, Michigan",1,163,26,505200
,"Block Group 2, Census Tract 5052, Wayne County, Michigan",2,163,26,505200
,"Block Group 3, Census Tract 5052, Wayne County, Michigan",3,163,26,505200
,"Block Group 4, Census Tract 5052, Wayne County, Michigan",4,163,26,505200
,"Block Group 1, Census Tract 5054, Wayne County, Michigan",1,163,26,505400
,"Block Group 2, Census Tract 5054, Wayne County, Michigan",2,163,26,505400
,"Block Group 3, Census Tract 5054, Wayne County, Michigan",3,163,26,505400
,"Block Group 4, Census Tract 5054, Wayne County, Michigan",4,163,26,505400
,"Block Group 1, Census Tract 5055, Wayne County, Michigan",1,163,26,505500
,"Block Group 2, Census Tract 5055, Wayne County, Michigan",2,163,26,505500
,"Block Group 1, Census Tract 5061, Wayne County, Michigan",1,163,26,506100
,"Block Group 2, Census Tract 5061, Wayne County, Michigan",2,163,26,506100
,"Block Group 1, Census Tract 5062, Wayne County, Michigan",1,163,26,506200
,"Block Group 2, Census Tract 5062, Wayne County, Michigan",2,163,26,506200
,"Block Group 1, Census Tract 5063, Wayne County, Michigan",1,163,26,506300
,"Block Group 2, Census Tract 5063, Wayne County, Michigan",2,163,26,506300
,"Block Group 3, Census Tract 5063, Wayne County, Michigan",3,163,26,506300
,"Block Group 1, Census Tract 5064, Wayne County, Michigan",1,163,26,506400
,"Block Group 2, Census Tract 5064, Wayne County, Michigan",2,163,26,506400
,"Block Group 3, Census Tract 5064, Wayne County, Michigan",3,163,26,506400
,"Block Group 1, Census Tract 5065, Wayne County, Michigan",1,163,26,506500
,"Block Group 2, Census Tract 5065, Wayne County, Michigan",2,163,26,506500
,"Block Group 3, Census Tract 5065, Wayne County, Michigan",3,163,26,506500
,"Block Group 1, Census Tract 5066, Wayne County, Michigan",1,163,26,506600
,"Block Group 2, Census Tract 5066, Wayne County, Michigan",2,163,26,506600
,"Block Group 3, Census Tract 5066, Wayne County, Michigan",3,163,26,506600
,"Block Group 4, Census Tract 5066, Wayne County, Michigan",4,163,26,506600
,"Block Group 1, Census Tract 5067, Wayne County, Michigan",1,163,26,506700
,"Block Group 1, Census Tract 5068, Wayne County, Michigan",1,163,26,506800
,"Block Group 2, Census Tract 5068, Wayne County, Michigan",2,163,26,506800
,"Block Group 3, Census Tract 5068, Wayne County, Michigan",3,163,26,506800
,"Block Group 4, Census Tract 5068, Wayne County, Michigan",4,163,26,506800
,"Block Group 1, Census Tract 5069, Wayne County, Michigan",1,163,26,506900
,"Block Group 2, Census Tract 5069, Wayne County, Michigan",2,163,26,506900
,"Block Group 3, Census Tract 5069, Wayne County, Michigan",3,163,26,506900
,"Block Group 4, Census Tract 5069, Wayne County, Michigan",4,163,26,506900
,"Block Group 5, Census Tract 5069, Wayne County, Michigan",5,163,26,506900
,"Block Group 1, Census Tract 5070, Wayne County, Michigan",1,163,26,507000
,"Block Group 2, Census Tract 5070, Wayne County, Michigan",2,163,26,507000
,"Block Group 3, Census Tract 5070, Wayne County, Michigan",3,163,26,507000
,"Block Group 1, Census Tract 5071, Wayne County, Michigan",1,163,26,507100
,"Block Group 2, Census Tract 5071, Wayne County, Michigan",2,163,26,507100
,"Block Group 3, Census Tract 5071, Wayne County, Michigan",3,163,26,507100
,"Block Group 4, Census Tract 5071, Wayne County, Michigan",4,163,26,507100
,"Block Group 1, Census Tract 5072, Wayne County, Michigan",1,163,26,507200
