B01003_001E,B17001_002E,NAME,county,state,tract
2507,1387,"Census Tract 5166, Wayne County, Michigan",163,26,516600
3247,1302,"Census Tract 5167, Wayne County, Michigan",163,26,516700
898,412,"Census Tract 5168, Wayne County, Michigan",163,26,516800
2308,581,"Census Tract 5169, Wayne County, Michigan",163,26,516900
3268,556,"Census Tract 5170, Wayne County, Michigan",163,26,517000
1145,218,"Census Tract 5171, Wayne County, Michigan",163,26,517100
2277,175,"Census Tract 5172, Wayne County, Michigan",163,26,517200
2276,922,"Census Tract 5173, Wayne County, Michigan",163,26,517300
2644,1258,"Census Tract 5175, Wayne County, Michigan",163,26,517500
2420,732,"Census Tract 5180, Wayne County, Michigan",163,26,518000
404,231,"Census Tract 5184, Wayne County, Michigan",163,26,518400
918,436,"Census Tract 5185, Wayne County, Michigan",163,26,518500
396,201,"Census Tract 5186, Wayne County, Michigan",163,26,518600
696,358,"Census Tract 5188, Wayne County, Michigan",163,26,518800
2122,1316,"Census Tract 5189, Wayne County, Michigan",163,26,518900
2742,629,"Census Tract 5202, Wayne County, Michigan",163,26,520200
1722,751,"Census Tract 5203, Wayne County, Michigan",163,26,520300
2321,1620,"Census Tract 5204, Wayne County, Michigan",163,26,520400
2371,1001,"Census Tract 5207, Wayne County, Michigan",163,26,520700
1611,202,"Census Tract 5208, Wayne County, Michigan",163,26,520800
2287,897,"Census Tract 5211, Wayne County, Michigan",163,26,521100
835,268,"Census Tract 5213, Wayne County, Michigan",163,26,521300
1350,459,"Census Tract 5214, Wayne County, Michigan",163,26,521400
1577,824,"Census Tract 5215, Wayne County, Michigan",163,26,521500
1436,686,"Census Tract 5218, Wayne County, Michigan",163,26,521800
3040,1477,"Census Tract 5219, Wayne County, Michigan",163,26,521900
1890,1122,"Census Tract 5220, Wayne County, Michigan",163,26,522000
843,346,"Census Tract 5221, Wayne County, Michigan",163,26,522100
615,434,"Census Tract 5222, Wayne County, Michigan",163,26,522200
1038,728,"Census Tract 5223, Wayne County, Michigan",163,26,522300
976,518,"Census Tract 5224, Wayne County, Michigan",163,26,522400
1570,1170,"Census Tract 5225, Wayne County, Michigan",163,26,522500
1741,600,"Census Tract 5231, Wayne County, Michigan",163,26,523100
4065,1318,"Census Tract 5232, Wayne County, Michigan",163,26,523200
3446,1580,"Census Tract 5233, Wayne County, Michigan",163,26,523300
2518,1085,"Census Tract 5234, Wayne County, Michigan",163,26,523400
4487,2158,"Census Tract 5238, Wayne County, Michigan",163,26,523800
3362,1384,"Census Tract 5240, Wayne County, Michigan",163,26,524000
3930,1615,"Census Tract 5241, Wayne County, Michigan",163,26,524100
5489,2190,"Census Tract 5242, Wayne County, Michigan",163,26,524200
2709,1152,"Census Tract 5243, Wayne County, Michigan",163,26,524300
282,138,"Census Tract 5245, Wayne County, Michigan",163,26,524500
3976,1566,"Census Tract 5247, Wayne County, Michigan",163,26,524700
2994,1608,"Census Tract 5248, Wayne County, Michigan",163,26,524800
1329,514,"Census Tract 5249, Wayne County, Michigan",163,26,524900
900,537,"Census Tract 5250, Wayne County, Michigan",163,26,525000
2841,1138,"Census Tract 5254, Wayne County, Michigan",163,26,525400
1287,594,"Census Tract 5255, Wayne County, Michigan",163,26,525500
1884,890,"Census Tract 5256, Wayne County, Michigan",163,26,525600
5445,1757,"Census Tract 5257, Wayne County, Michigan",163,26,525700
1959,947,"Census Tract 5258, Wayne County, Michigan",163,26,525800
3200,1784,"Census Tract 5260, Wayne County, Michigan",163,26,526000
2728,1749,"Census Tract 5261, Wayne County, Michigan",163,26,526100
3364,1500,"Census Tract 5262, Wayne County, Michigan",163,26,526200
3121,1243,"Census Tract 5263, Wayne County, Michigan",163,26,526300
1630,665,"Census Tract 5264, Wayne County, Michigan",163,26,526400
2214,877,"Census Tract 5265, Wayne County, Michigan",163,26,526500
